no_of_adults,no_of_children,meal_plan,car_parking_space,lead_time,booking_status,booking_date,no_of_nights
2,0,Meal Plan 1,N,27,Not_Canceled,2018-10-03,2
2,1,Meal Plan 1,N,50,Not_Canceled,2018-12-25,1
2,0,Meal Plan 2,N,110,Canceled,2017-07-25,3
2,0,Meal Plan 1,N,76,Not_Canceled,2018-03-20,5
1,0,Meal Plan 1,N,146,Not_Canceled,2017-12-29,3
2,0,Meal Plan 1,N,57,Not_Canceled,2018-02-11,3
2,0,Not Selected,N,31,Not_Canceled,2018-09-16,1
2,0,Meal Plan 1,N,142,Not_Canceled,2018-08-21,5
2,0,Meal Plan 1,N,44,Not_Canceled,2018-02-17,3
1,0,Meal Plan 1,N,1,Not_Canceled,2018-07-05,1
2,0,Meal Plan 2,N,30,Not_Canceled,2017-09-30,2
2,0,Meal Plan 1,N,186,Canceled,2018-07-19,5
2,0,Meal Plan 1,Y,138,Not_Canceled,2018-05-07,1
2,0,Meal Plan 1,N,162,Not_Canceled,2018-03-08,5
2,0,Meal Plan 1,N,2,Not_Canceled,2017-10-13,1
2,0,Meal Plan 1,N,100,Not_Canceled,2018-03-17,4
2,0,Meal Plan 1,N,97,Not_Canceled,2017-12-29,4
3,0,Meal Plan 1,N,33,Not_Canceled,2018-01-25,3
2,0,Meal Plan 1,N,24,Not_Canceled,2017-12-26,4
3,0,Meal Plan 1,N,89,Not_Canceled,2018-07-25,3
2,0,Meal Plan 1,N,66,Not_Canceled,2017-07-11,3
1,0,Meal Plan 1,N,5,Not_Canceled,2018-02-03,1
2,0,Meal Plan 2,N,41,Not_Canceled,2017-09-04,1
3,0,Meal Plan 1,N,45,Not_Canceled,2018-12-08,2
1,0,Meal Plan 1,N,1,Not_Canceled,2017-09-02,2
2,0,Meal Plan 1,N,9,Not_Canceled,2018-10-21,2
3,0,Meal Plan 1,N,161,Not_Canceled,2018-07-15,3
1,0,Not Selected,N,13,Not_Canceled,2018-05-30,3
2,0,Meal Plan 1,N,1,Not_Canceled,2018-03-08,4
2,0,Meal Plan 1,N,166,Not_Canceled,2017-10-12,4
2,0,Meal Plan 1,N,68,Not_Canceled,2017-09-29,2
1,0,Meal Plan 2,N,256,Not_Canceled,2018-06-15,2
2,0,Meal Plan 1,N,0,Not_Canceled,2018-09-27,1
2,0,Meal Plan 2,N,273,Canceled,2017-07-17,2
2,0,Meal Plan 1,N,17,Not_Canceled,2017-08-27,5
2,0,Meal Plan 1,N,88,Not_Canceled,2018-07-26,4
2,0,Meal Plan 1,N,80,Not_Canceled,2018-04-28,3
1,0,Meal Plan 1,N,16,Not_Canceled,2018-10-02,3
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
2,0,Not Selected,N,17,Not_Canceled,2018-12-30,7
2,0,Meal Plan 1,N,49,Not_Canceled,2018-01-24,5
2,1,Meal Plan 1,N,64,Not_Canceled,2018-04-23,6
2,2,Meal Plan 1,N,24,Not_Canceled,2018-12-30,1
2,0,Meal Plan 1,N,10,Not_Canceled,2017-08-18,5
2,0,Meal Plan 1,N,59,Not_Canceled,2018-11-18,4
1,0,Meal Plan 1,N,164,Not_Canceled,2017-10-02,2
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
2,0,Meal Plan 2,N,122,Not_Canceled,2018-03-27,3
1,0,Meal Plan 1,N,276,Not_Canceled,2018-09-22,3
2,0,Meal Plan 1,N,18,Not_Canceled,2018-09-15,4
2,0,Meal Plan 1,N,116,Not_Canceled,2018-11-17,3
1,0,Meal Plan 1,N,38,Canceled,2018-02-22,3
2,1,Meal Plan 1,Y,6,Not_Canceled,2017-08-17,6
1,0,Meal Plan 1,N,47,Not_Canceled,2018-09-13,3
2,2,Meal Plan 1,N,9,Not_Canceled,2017-08-21,3
3,0,Not Selected,N,1,Not_Canceled,2017-12-31,3
2,0,Meal Plan 1,N,118,Not_Canceled,2018-05-01,5
1,0,Meal Plan 1,N,0,Not_Canceled,2017-08-05,2
1,0,Not Selected,N,12,Not_Canceled,2018-11-09,4
1,0,Not Selected,N,38,Not_Canceled,2018-03-05,1
2,0,Meal Plan 1,Y,41,Not_Canceled,2018-01-16,1
2,0,Meal Plan 1,N,145,Not_Canceled,2018-07-05,0
2,0,Meal Plan 1,Y,83,Not_Canceled,2018-03-19,2
2,0,Not Selected,N,1,Not_Canceled,2018-11-08,4
1,0,Meal Plan 1,N,192,Not_Canceled,2018-06-24,2
2,0,Meal Plan 1,N,44,Not_Canceled,2018-02-17,3
2,0,Not Selected,N,163,Canceled,2018-07-22,2
2,2,Meal Plan 1,N,22,Not_Canceled,2018-07-21,2
2,0,Meal Plan 1,N,7,Not_Canceled,2017-09-21,5
1,0,Meal Plan 1,N,20,Not_Canceled,2017-11-11,7
2,0,Meal Plan 1,N,54,Not_Canceled,2018-12-24,4
2,0,Meal Plan 1,N,2,Not_Canceled,2017-10-18,3
2,1,Meal Plan 1,N,153,Not_Canceled,2018-12-29,5
1,0,Meal Plan 1,N,7,Not_Canceled,2017-10-30,1
1,0,Meal Plan 2,N,6,Not_Canceled,2017-12-10,2
2,0,Meal Plan 1,N,14,Not_Canceled,2018-05-18,4
2,0,Meal Plan 2,N,39,Not_Canceled,2017-08-14,2
1,0,Meal Plan 1,N,10,Not_Canceled,2018-03-07,4
2,1,Meal Plan 1,N,6,Not_Canceled,2018-07-11,3
2,0,Not Selected,N,18,Not_Canceled,2018-12-09,10
2,0,Not Selected,N,66,Not_Canceled,2018-09-02,3
1,0,Meal Plan 2,N,377,Not_Canceled,2018-10-14,2
2,1,Meal Plan 1,N,16,Not_Canceled,2018-12-21,1
2,0,Meal Plan 1,N,9,Not_Canceled,2017-09-10,4
2,0,Not Selected,N,130,Not_Canceled,2018-08-27,3
2,0,Not Selected,N,0,Not_Canceled,2017-08-10,4
2,0,Not Selected,N,4,Not_Canceled,2018-06-13,1
2,0,Meal Plan 1,N,88,Not_Canceled,2018-12-18,3
2,0,Meal Plan 1,N,85,Not_Canceled,2018-07-18,1
2,0,Meal Plan 1,N,63,Not_Canceled,2018-11-21,5
3,0,Meal Plan 1,N,11,Not_Canceled,2018-02-14,1
1,0,Meal Plan 1,N,3,Not_Canceled,2018-03-17,1
2,0,Meal Plan 1,N,94,Canceled,2018-10-31,2
2,0,Meal Plan 1,N,130,Not_Canceled,2018-03-25,3
2,0,Meal Plan 1,N,30,Not_Canceled,2018-03-04,2
1,0,Meal Plan 1,N,0,Not_Canceled,2018-07-14,1
2,0,Not Selected,N,5,Not_Canceled,2017-09-19,3
2,0,Meal Plan 1,Y,42,Not_Canceled,2018-09-27,2
2,0,Not Selected,N,2,Not_Canceled,2018-05-16,1
1,0,Meal Plan 1,N,5,Not_Canceled,2018-05-10,1
2,0,Not Selected,N,116,Not_Canceled,2018-06-30,5
2,0,Meal Plan 1,N,12,Not_Canceled,2018-02-14,3
1,0,Meal Plan 1,N,9,Not_Canceled,2017-11-11,2
2,0,Meal Plan 1,N,41,Not_Canceled,2018-03-13,3
2,0,Meal Plan 1,N,48,Not_Canceled,2018-03-06,3
2,0,Meal Plan 1,N,71,Not_Canceled,2017-09-22,3
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Meal Plan 1,N,60,Canceled,2018-03-20,4
2,0,Meal Plan 1,N,126,Not_Canceled,2018-05-02,4
1,0,Meal Plan 1,N,151,Not_Canceled,2018-01-19,1
2,1,Meal Plan 1,N,12,Not_Canceled,2018-06-29,2
2,0,Meal Plan 1,N,254,Canceled,2018-09-29,4
1,0,Meal Plan 1,N,10,Not_Canceled,2018-11-15,2
2,0,Not Selected,N,1,Not_Canceled,2018-05-08,1
2,2,Meal Plan 1,N,60,Not_Canceled,2018-12-23,1
1,0,Not Selected,N,83,Not_Canceled,2018-11-19,2
3,0,Meal Plan 1,N,102,Not_Canceled,2018-05-05,4
2,0,Meal Plan 1,N,3,Not_Canceled,2017-12-03,5
2,0,Not Selected,N,5,Canceled,2018-03-07,3
2,0,Meal Plan 1,N,29,Not_Canceled,2017-09-15,1
1,0,Meal Plan 1,N,11,Not_Canceled,2017-10-19,4
1,0,Meal Plan 1,N,126,Not_Canceled,2018-06-26,2
1,0,Meal Plan 1,N,164,Not_Canceled,2017-10-02,2
2,0,Meal Plan 1,N,33,Not_Canceled,2018-03-16,5
2,0,Meal Plan 2,N,74,Not_Canceled,2017-09-18,2
2,0,Meal Plan 1,N,5,Not_Canceled,2018-10-14,2
1,0,Not Selected,N,6,Not_Canceled,2018-09-25,3
1,0,Meal Plan 1,N,81,Not_Canceled,2018-07-03,5
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
1,0,Meal Plan 1,N,6,Not_Canceled,2018-08-17,1
2,0,Not Selected,N,54,Not_Canceled,2018-11-16,3
2,0,Meal Plan 1,N,23,Not_Canceled,2018-04-16,2
2,0,Not Selected,N,109,Not_Canceled,2018-07-13,6
1,0,Meal Plan 2,N,102,Canceled,2017-10-16,2
2,0,Meal Plan 1,N,97,Not_Canceled,2018-03-24,4
2,0,Meal Plan 2,N,102,Canceled,2017-10-16,2
2,1,Meal Plan 1,N,103,Not_Canceled,2018-05-01,4
2,0,Meal Plan 1,N,33,Not_Canceled,2018-05-09,5
2,0,Meal Plan 1,N,124,Not_Canceled,2018-08-01,4
2,1,Meal Plan 1,N,85,Not_Canceled,2018-08-29,4
2,0,Meal Plan 1,N,10,Canceled,2018-10-02,4
2,0,Meal Plan 1,N,29,Not_Canceled,2018-03-04,3
1,0,Meal Plan 1,N,2,Not_Canceled,2018-08-02,1
1,0,Meal Plan 2,N,122,Not_Canceled,2018-03-27,3
2,0,Meal Plan 1,N,112,Not_Canceled,2018-06-02,3
3,0,Meal Plan 1,N,12,Not_Canceled,2018-07-07,3
3,0,Meal Plan 1,N,40,Not_Canceled,2018-03-04,2
2,1,Meal Plan 1,N,43,Not_Canceled,2018-11-25,2
3,0,Meal Plan 1,N,215,Canceled,2018-11-06,7
2,0,Not Selected,N,12,Not_Canceled,2018-09-18,3
1,0,Meal Plan 1,N,76,Not_Canceled,2017-09-15,3
1,0,Not Selected,N,7,Not_Canceled,2018-10-19,2
1,0,Meal Plan 1,Y,1,Not_Canceled,2018-08-01,2
2,0,Meal Plan 1,Y,69,Not_Canceled,2018-06-30,5
1,0,Meal Plan 1,N,190,Not_Canceled,2018-06-22,5
1,0,Meal Plan 1,N,3,Not_Canceled,2018-04-18,2
2,0,Meal Plan 1,N,1,Not_Canceled,2018-01-02,3
1,0,Meal Plan 1,Y,0,Not_Canceled,2018-03-02,2
3,0,Meal Plan 1,N,57,Not_Canceled,2018-10-17,4
2,0,Meal Plan 1,N,230,Canceled,2018-09-18,4
2,0,Meal Plan 1,N,64,Canceled,2018-04-23,3
2,0,Meal Plan 2,N,37,Not_Canceled,2018-06-26,4
2,0,Not Selected,N,11,Not_Canceled,2018-12-06,1
2,0,Not Selected,N,30,Not_Canceled,2018-03-05,3
2,0,Meal Plan 1,N,56,Not_Canceled,2018-06-08,1
